sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 46,AB 49,0,3,?,?,?,?,5,2,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 49(?),0.0,[AB 46|AB 49]-AB 49-AB 49
AB 12,AB 04,1,3,dental/coronal,dental/coronal,o,e,6,1,phonetic,"same class (dental/coronal), different vowel: AB 12(so) ↔ AB 04(te)",0.5,AB 52-[AB 12|AB 04]-AB 10
AB 10,AB 26,2,3,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 26(ru),0.0,AB 52-AB 12-[AB 10|AB 26]
AB 10,AB 08,2,3,vowel,vowel,u,a,6,1,unknown,unclassified: AB 10(u) ↔ AB 08(a),0.0,AB 52-AB 12-[AB 10|AB 08]
AB 10,AB 51,2,3,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 51(du),0.0,AB 52-AB 12-[AB 10|AB 51]
AB 10,AB 55,2,3,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 55(nu),0.0,AB 52-AB 12-[AB 10|AB 55]
AB 12,AB 56,0,3,dental/coronal,?,o,?,6,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 56(?),0.0,[AB 12|AB 56]-AB 10-AB 06
AB 12,AB 08,0,3,dental/coronal,vowel,o,a,6,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 08(a),0.0,[AB 12|AB 08]-AB 10-AB 06
AB 12,AB 30,0,3,dental/coronal,dental/coronal,o,i,6,1,unknown,unclassified: AB 12(so) ↔ AB 30(ni),0.0,[AB 12|AB 30]-AB 10-AB 06
AB 12,AB 22f,0,3,dental/coronal,?,o,?,6,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 22f(?),0.0,[AB 12|AB 22f]-AB 10-AB 06
AB 12,AB 75,0,3,dental/coronal,?,o,?,6,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 75(?),0.0,[AB 12|AB 75]-AB 10-AB 06
AB 36,AB 01,0,3,velar/palatal,dental/coronal,o,a,5,2,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 01(da),0.0,[AB 36|AB 01]-AB 26-AB 34
AB 34,AB 51,0,3,dental/coronal,dental/coronal,i,u,6,1,unknown,unclassified: AB 34(ti) ↔ AB 51(du),0.0,[AB 34|AB 51]-AB 06-AB 65
AB 06,AB 21f,1,3,dental/coronal,?,a,?,6,1,unknown,unclassified: AB 06(na) ↔ AB 21f(?),0.0,AB 34-[AB 06|AB 21f]-AB 65
VASE 10,AB 06,0,4,?,dental/coronal,?,a,1,6,morphological,prefix/suffix substitution: VASE 10(?) ↔ AB 06(na),0.0,[VASE 10|AB 06]-AB 62-AB 06-AB 36
AB 10,AB 26,3,4,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 26(ru),0.0,AB 30-AB 52-AB 12-[AB 10|AB 26]
AB 10,AB 51,3,4,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 51(du),0.0,AB 30-AB 52-AB 12-[AB 10|AB 51]
AB 06,AB 23,0,4,dental/coronal,dental/coronal,a,u,6,1,unknown,unclassified: AB 06(na) ↔ AB 23(mu),0.0,[AB 06|AB 23]-AB 62-AB 06-AB 36
AB 06,AB 09,0,4,dental/coronal,dental/coronal,a,e,6,1,unknown,unclassified: AB 06(na) ↔ AB 09(se),0.0,[AB 06|AB 09]-AB 62-AB 06-AB 36
AB 36,AB 26,3,4,velar/palatal,dental/coronal,o,u,6,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 26(ru),0.0,AB 06-AB 62-AB 06-[AB 36|AB 26]
AB 10,AB 26,4,5,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 26(ru),0.0,AB 30-AB 30-AB 52-AB 12-[AB 10|AB 26]
AB 10,AB 51,4,5,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 51(du),0.0,AB 30-AB 30-AB 52-AB 12-[AB 10|AB 51]
AB 36,AB 26,4,5,velar/palatal,dental/coronal,o,u,6,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 26(ru),0.0,AB 10-AB 06-AB 62-AB 06-[AB 36|AB 26]
AB 51,AB 55,2,3,dental/coronal,dental/coronal,u,u,4,2,unknown,unclassified: AB 51(du) ↔ AB 55(nu),0.0,AB 56-AB 24-[AB 51|AB 55]
AB 24,AB 04,0,3,dental/coronal,dental/coronal,e,e,4,2,unknown,unclassified: AB 24(ne) ↔ AB 04(te),0.0,[AB 24|AB 04]-AB 51-AB 06
AB 24,AB 56,0,3,dental/coronal,?,e,?,4,2,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 56(?),0.0,[AB 24|AB 56]-AB 51-AB 06
AB 91,AB 06,0,3,?,dental/coronal,o,a,1,5,morphological,prefix/suffix substitution: AB 91(lo) ↔ AB 06(na),0.0,[AB 91|AB 06]-AB 65-AB 36
AB 35,AB 23,2,3,dental/coronal,dental/coronal,i,u,1,5,unknown,unclassified: AB 35(ti) ↔ AB 23(mu),0.0,AB 65-AB 36-[AB 35|AB 23]
AB 32,AB 26,2,3,vowel,dental/coronal,i,u,4,2,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 26(ru),0.0,AB 51-AB 06-[AB 32|AB 26]
AB 32,AB 36,2,3,vowel,velar/palatal,i,o,4,2,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 36(jo),0.0,AB 51-AB 06-[AB 32|AB 36]
AB 32,AB 04,2,3,vowel,dental/coronal,i,e,4,2,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 04(te),0.0,AB 51-AB 06-[AB 32|AB 04]
VASE 4,AB 24,0,3,?,dental/coronal,?,e,1,5,morphological,prefix/suffix substitution: VASE 4(?) ↔ AB 24(ne),0.0,[VASE 4|AB 24]-AB 66-AB 02
AB 34,AB 49,2,3,dental/coronal,?,i,?,1,5,morphological,prefix/suffix substitution: AB 34(ti) ↔ AB 49(?),0.0,AB 46-AB 49-[AB 34|AB 49]
AB 10,AB 24,0,3,vowel,dental/coronal,u,e,1,5,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 24(ne),0.0,[AB 10|AB 24]-AB 66-AB 02
AB 50,AB 64,2,3,dental/coronal,?,u,?,5,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 64(?),0.0,AB 66-AB 29-[AB 50|AB 64]
AB 50,AB 08,2,3,dental/coronal,vowel,u,a,5,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 08(a),0.0,AB 66-AB 29-[AB 50|AB 08]
AB 50,AB 04,2,3,dental/coronal,dental/coronal,u,e,5,1,unknown,unclassified: AB 50(pu) ↔ AB 04(te),0.0,AB 66-AB 29-[AB 50|AB 04]
AB 50,AB 49,2,3,dental/coronal,?,u,?,5,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 49(?),0.0,AB 66-AB 29-[AB 50|AB 49]
AB 45,AB 24,0,3,dental/coronal,dental/coronal,i,e,1,5,unknown,unclassified: AB 45(ri) ↔ AB 24(ne),0.0,[AB 45|AB 24]-AB 66-AB 02
AB 36,AB 24,0,3,velar/palatal,dental/coronal,o,e,1,5,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 24(ne),0.0,[AB 36|AB 24]-AB 66-AB 02
VASE 7,AB 30,2,3,?,dental/coronal,?,i,3,3,morphological,prefix/suffix substitution: VASE 7(?) ↔ AB 30(ni),0.0,AB 66-AB 02-[VASE 7|AB 30]
AB 29,AB 86,2,3,dental/coronal,?,u,o,2,4,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 86(lo),0.0,AB 61-AB 73-[AB 29|AB 86]
VASE 8,AB 08,0,3,?,vowel,?,a,1,5,morphological,prefix/suffix substitution: VASE 8(?) ↔ AB 08(a),0.0,[VASE 8|AB 08]-AB 30-AB 30
A 726,AB 87,2,3,?,?,?,?,1,5,morphological,prefix/suffix substitution: A 726(?) ↔ AB 87(?),0.0,AB 30-AB 61-[A 726|AB 87]
AB 10,AB 66,0,3,vowel,?,u,?,2,4,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 66(?),0.0,[AB 10|AB 66]-AB 59-AB 06
AB 36,AB 63,2,3,velar/palatal,velar/palatal,o,e,4,2,unknown,unclassified: AB 36(jo) ↔ AB 63(ke),0.0,AB 59-AB 06-[AB 36|AB 63]
AB 59,AB 51,0,3,?,dental/coronal,?,u,4,2,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 51(du),0.0,[AB 59|AB 51]-AB 06-AB 36
A 726,AB 86,2,3,?,?,?,o,2,4,morphological,prefix/suffix substitution: A 726(?) ↔ AB 86(lo),0.0,AB 61-AB 73-[A 726|AB 86]
AB 87,AB 92,2,3,?,?,?,?,5,1,morphological,prefix/suffix substitution: AB 87(?) ↔ AB 92(?),0.0,AB 30-AB 61-[AB 87|AB 92]
AB 87,A 608,2,3,?,?,?,?,5,1,morphological,prefix/suffix substitution: AB 87(?) ↔ A 608(?),0.0,AB 30-AB 61-[AB 87|A 608]
AB 87,A 383,2,3,?,?,?,?,5,1,morphological,prefix/suffix substitution: AB 87(?) ↔ A 383(?),0.0,AB 30-AB 61-[AB 87|A 383]
AB 87,AB 91,2,3,?,?,?,o,5,1,morphological,prefix/suffix substitution: AB 87(?) ↔ AB 91(lo),0.0,AB 30-AB 61-[AB 87|AB 91]
AB 87,AB 13,2,3,?,labial,?,e,5,1,morphological,prefix/suffix substitution: AB 87(?) ↔ AB 13(me),0.0,AB 30-AB 61-[AB 87|AB 13]
AB 87,AB 71,2,3,?,velar/palatal,?,e,5,1,morphological,prefix/suffix substitution: AB 87(?) ↔ AB 71(ke),0.0,AB 30-AB 61-[AB 87|AB 71]
AB 56,AB 66,1,3,?,?,?,?,1,5,unknown,unclassified: AB 56(?) ↔ AB 66(?),0.0,AB 24-[AB 56|AB 66]-AB 02
AB 24,AB 73,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 73(?),0.0,[AB 24|AB 73]-AB 66-AB 02
AB 24,AB 52,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 52(?),0.0,[AB 24|AB 52]-AB 66-AB 02
AB 24,A 396,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ A 396(?),0.0,[AB 24|A 396]-AB 66-AB 02
AB 24,AB 32,0,3,dental/coronal,vowel,e,i,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 32(i),0.0,[AB 24|AB 32]-AB 66-AB 02
AB 24,AB 03,0,3,dental/coronal,labial,e,a,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 03(pa),0.0,[AB 24|AB 03]-AB 66-AB 02
AB 24,AB 65,0,3,dental/coronal,velar/palatal,e,u,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 65(ju),0.0,[AB 24|AB 65]-AB 66-AB 02
AB 24,AB 54,0,3,dental/coronal,labial,e,a,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 54(wa),0.0,[AB 24|AB 54]-AB 66-AB 02
AB 24,A 568,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ A 568(?),0.0,[AB 24|A 568]-AB 66-AB 02
AB 24,AB 92,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 92(?),0.0,[AB 24|AB 92]-AB 66-AB 02
AB 24,VASE 5,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ VASE 5(?),0.0,[AB 24|VASE 5]-AB 66-AB 02
AB 24,AB 22f,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 22f(?),0.0,[AB 24|AB 22f]-AB 66-AB 02
AB 24,A 377,0,3,dental/coronal,?,e,?,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ A 377(?),0.0,[AB 24|A 377]-AB 66-AB 02
AB 24,AB 61,0,3,dental/coronal,vowel,e,o,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 61(o),0.0,[AB 24|AB 61]-AB 66-AB 02
AB 24,AB 77,0,3,dental/coronal,velar/palatal,e,a,5,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 77(ka),0.0,[AB 24|AB 77]-AB 66-AB 02
AB 02,AB 66,2,3,dental/coronal,?,o,?,5,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ AB 66(?),0.0,AB 24-AB 66-[AB 02|AB 66]
AB 44,AB 23,2,3,velar/palatal,dental/coronal,e,u,1,5,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 23(mu),0.0,AB 65-AB 36-[AB 44|AB 23]
AB 66,AB 22f,0,3,?,?,?,?,4,2,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 22f(?),0.0,[AB 66|AB 22f]-AB 59-AB 06
AB 66,AB 06,0,3,?,dental/coronal,?,a,4,2,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 06(na),0.0,[AB 66|AB 06]-AB 59-AB 06
AB 85,AB 65,0,3,?,velar/palatal,?,u,1,5,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 65(ju),0.0,[AB 85|AB 65]-AB 36-AB 23
AB 09,AB 04,2,3,dental/coronal,dental/coronal,e,e,2,4,unknown,unclassified: AB 09(se) ↔ AB 04(te),0.0,AB 07-AB 56-[AB 09|AB 04]
AB 61,AB 30,2,3,vowel,dental/coronal,o,i,1,5,morphological,prefix/suffix substitution: AB 61(o) ↔ AB 30(ni),0.0,AB 08-AB 30-[AB 61|AB 30]
A 726,AB 65,0,3,?,velar/palatal,?,u,1,5,morphological,prefix/suffix substitution: A 726(?) ↔ AB 65(ju),0.0,[A 726|AB 65]-AB 36-AB 23
AB 64,AB 36,2,3,?,velar/palatal,?,o,1,5,morphological,prefix/suffix substitution: AB 64(?) ↔ AB 36(jo),0.0,AB 06-AB 65-[AB 64|AB 36]
AB 47,AB 65,1,3,dental/coronal,velar/palatal,u,u,1,5,unknown,unclassified: AB 47(nu) ↔ AB 65(ju),0.0,AB 06-[AB 47|AB 65]-AB 36
AB 65,AB 36,2,3,velar/palatal,velar/palatal,u,o,1,5,unknown,unclassified: AB 65(ju) ↔ AB 36(jo),0.0,AB 06-AB 65-[AB 65|AB 36]
AB 39,AB 30,1,3,?,dental/coronal,?,i,1,5,unknown,unclassified: AB 39(?) ↔ AB 30(ni),0.0,AB 08-[AB 39|AB 30]-AB 30
AB 49,AB 68,2,3,?,dental/coronal,?,o,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 68(ro),0.0,AB 46-AB 49-[AB 49|AB 68]
AB 49,AB 57,2,3,?,velar/palatal,?,a,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 57(ja),0.0,AB 46-AB 49-[AB 49|AB 57]
AB 46,AB 08,0,3,?,vowel,?,a,5,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 08(a),0.0,[AB 46|AB 08]-AB 49-AB 49
AB 49,AB 08,2,3,?,vowel,?,a,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,AB 46-AB 49-[AB 49|AB 08]
AB 46,AB 03,0,3,?,labial,?,a,5,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 03(pa),0.0,[AB 46|AB 03]-AB 49-AB 49
AB 46,AB 01,0,3,?,dental/coronal,?,a,5,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 01(da),0.0,[AB 46|AB 01]-AB 49-AB 49
AB 49,AB 26,2,3,?,dental/coronal,?,u,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 26(ru),0.0,AB 46-AB 49-[AB 49|AB 26]
AB 49,AB 09,2,3,?,dental/coronal,?,e,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 09(se),0.0,AB 46-AB 49-[AB 49|AB 09]
AB 46,AB 59,0,3,?,?,?,?,5,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 59(?),0.0,[AB 46|AB 59]-AB 49-AB 49
AB 49,AB 53,2,3,?,dental/coronal,?,i,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 53(ri),0.0,AB 46-AB 49-[AB 49|AB 53]
AB 34,AB 36,2,3,dental/coronal,velar/palatal,i,o,5,1,morphological,prefix/suffix substitution: AB 34(ti) ↔ AB 36(jo),0.0,AB 36-AB 26-[AB 34|AB 36]
AB 34,AB 06,2,3,dental/coronal,dental/coronal,i,a,5,1,unknown,unclassified: AB 34(ti) ↔ AB 06(na),0.0,AB 36-AB 26-[AB 34|AB 06]
AB 36,AB 32,0,3,velar/palatal,vowel,o,i,5,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 32(i),0.0,[AB 36|AB 32]-AB 26-AB 34
AB 36,AB 06,0,3,velar/palatal,dental/coronal,o,a,5,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 06(na),0.0,[AB 36|AB 06]-AB 26-AB 34
AB 26,MET E,1,3,dental/coronal,?,u,?,5,1,unknown,unclassified: AB 26(ru) ↔ MET E(?),0.0,AB 36-[AB 26|MET E]-AB 34
AB 36,AB 39,2,3,velar/palatal,?,o,?,5,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 39(?),0.0,AB 06-AB 65-[AB 36|AB 39]
AB 65,AB 36,1,3,velar/palatal,velar/palatal,u,o,5,1,phonetic,"same class (velar/palatal), different vowel: AB 65(ju) ↔ AB 36(jo)",0.5,AB 06-[AB 65|AB 36]-AB 36
AB 06,AB 52,0,3,dental/coronal,?,a,?,5,1,morphological,prefix/suffix substitution: AB 06(na) ↔ AB 52(?),0.0,[AB 06|AB 52]-AB 65-AB 36
AB 36,AB 26,2,3,velar/palatal,dental/coronal,o,u,5,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 26(ru),0.0,AB 06-AB 65-[AB 36|AB 26]
AB 65,AB 06,0,3,velar/palatal,dental/coronal,u,a,5,1,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 06(na),0.0,[AB 65|AB 06]-AB 36-AB 23
AB 65,AB 36,0,3,velar/palatal,velar/palatal,u,o,5,1,unknown,unclassified: AB 65(ju) ↔ AB 36(jo),0.0,[AB 65|AB 36]-AB 36-AB 23
AB 23,AB 77,2,3,dental/coronal,velar/palatal,u,a,5,1,morphological,prefix/suffix substitution: AB 23(mu) ↔ AB 77(ka),0.0,AB 65-AB 36-[AB 23|AB 77]
AB 08,AB 35,0,3,vowel,dental/coronal,a,i,5,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 35(ti),0.0,[AB 08|AB 35]-AB 30-AB 30
AB 30,AB 01,2,3,dental/coronal,dental/coronal,i,a,5,1,unknown,unclassified: AB 30(ni) ↔ AB 01(da),0.0,AB 08-AB 30-[AB 30|AB 01]
AB 30,AB 24,1,3,dental/coronal,dental/coronal,i,e,5,1,phonetic,"same class (dental/coronal), different vowel: AB 30(ni) ↔ AB 24(ne)",0.5,AB 08-[AB 30|AB 24]-AB 30
AB 30,AB 21f,2,3,dental/coronal,?,i,?,5,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 21f(?),0.0,AB 08-AB 30-[AB 30|AB 21f]
AB 30,AB 50,2,3,dental/coronal,dental/coronal,i,u,5,1,unknown,unclassified: AB 30(ni) ↔ AB 50(pu),0.0,AB 08-AB 30-[AB 30|AB 50]
AB 29,AB 86,3,4,dental/coronal,?,u,o,2,4,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 86(lo),0.0,AB 30-AB 61-AB 73-[AB 29|AB 86]
AB 49,AB 68,3,4,?,dental/coronal,?,o,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 68(ro),0.0,AB 85-AB 46-AB 49-[AB 49|AB 68]
AB 49,AB 57,3,4,?,velar/palatal,?,a,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 57(ja),0.0,AB 85-AB 46-AB 49-[AB 49|AB 57]
AB 49,AB 08,3,4,?,vowel,?,a,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,AB 85-AB 46-AB 49-[AB 49|AB 08]
AB 49,AB 26,3,4,?,dental/coronal,?,u,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 26(ru),0.0,AB 85-AB 46-AB 49-[AB 49|AB 26]
AB 49,AB 09,3,4,?,dental/coronal,?,e,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 09(se),0.0,AB 85-AB 46-AB 49-[AB 49|AB 09]
AB 49,AB 53,3,4,?,dental/coronal,?,i,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 53(ri),0.0,AB 85-AB 46-AB 49-[AB 49|AB 53]
AB 62,AB 23,3,4,?,dental/coronal,?,u,4,2,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 23(mu),0.0,AB 12-AB 10-AB 06-[AB 62|AB 23]
AB 36,AB 26,3,4,velar/palatal,dental/coronal,o,u,5,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 26(ru),0.0,AB 34-AB 06-AB 65-[AB 36|AB 26]
AB 65,AB 36,1,4,velar/palatal,velar/palatal,u,o,5,1,phonetic,"same class (velar/palatal), different vowel: AB 65(ju) ↔ AB 36(jo)",0.5,AB 06-[AB 65|AB 36]-AB 36-AB 23
AB 65,AB 36,0,4,velar/palatal,velar/palatal,u,o,5,1,unknown,unclassified: AB 65(ju) ↔ AB 36(jo),0.0,[AB 65|AB 36]-AB 36-AB 23-AB 04
AB 49,AB 68,4,5,?,dental/coronal,?,o,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 68(ro),0.0,AB 26-AB 85-AB 46-AB 49-[AB 49|AB 68]
AB 49,AB 57,4,5,?,velar/palatal,?,a,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 57(ja),0.0,AB 26-AB 85-AB 46-AB 49-[AB 49|AB 57]
AB 49,AB 08,4,5,?,vowel,?,a,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,AB 26-AB 85-AB 46-AB 49-[AB 49|AB 08]
AB 49,AB 26,4,5,?,dental/coronal,?,u,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 26(ru),0.0,AB 26-AB 85-AB 46-AB 49-[AB 49|AB 26]
AB 49,AB 09,4,5,?,dental/coronal,?,e,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 09(se),0.0,AB 26-AB 85-AB 46-AB 49-[AB 49|AB 09]
AB 49,AB 53,4,5,?,dental/coronal,?,i,5,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 53(ri),0.0,AB 26-AB 85-AB 46-AB 49-[AB 49|AB 53]
AB 62,AB 23,4,5,?,dental/coronal,?,u,4,2,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 23(mu),0.0,AB 52-AB 12-AB 10-AB 06-[AB 62|AB 23]
AB 36,AB 26,4,5,velar/palatal,dental/coronal,o,u,5,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 26(ru),0.0,AB 26-AB 34-AB 06-AB 65-[AB 36|AB 26]
AB 65,AB 36,1,5,velar/palatal,velar/palatal,u,o,5,1,phonetic,"same class (velar/palatal), different vowel: AB 65(ju) ↔ AB 36(jo)",0.5,AB 06-[AB 65|AB 36]-AB 36-AB 23-AB 04
AB 56,AB 03,0,3,?,labial,?,a,4,1,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 03(pa),0.0,[AB 56|AB 03]-AB 24-AB 51
AB 56,AB 01,0,3,?,dental/coronal,?,a,4,1,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 01(da),0.0,[AB 56|AB 01]-AB 24-AB 51
AB 24,AB 01,1,3,dental/coronal,dental/coronal,e,a,4,1,phonetic,"same class (dental/coronal), different vowel: AB 24(ne) ↔ AB 01(da)",0.5,AB 56-[AB 24|AB 01]-AB 51
AB 24,AB 64,1,3,dental/coronal,?,e,?,4,1,unknown,unclassified: AB 24(ne) ↔ AB 64(?),0.0,AB 56-[AB 24|AB 64]-AB 51
AB 24,AB 45,1,3,dental/coronal,dental/coronal,e,i,4,1,phonetic,"same class (dental/coronal), different vowel: AB 24(ne) ↔ AB 45(ri)",0.5,AB 56-[AB 24|AB 45]-AB 51
AB 51,AB 14,2,3,dental/coronal,dental/coronal,u,o,4,1,unknown,unclassified: AB 51(du) ↔ AB 14(do),0.0,AB 56-AB 24-[AB 51|AB 14]
AB 56,AB 49,0,3,?,?,?,?,4,1,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 49(?),0.0,[AB 56|AB 49]-AB 24-AB 51
AB 06,AB 34,2,3,dental/coronal,dental/coronal,a,i,4,1,unknown,unclassified: AB 06(na) ↔ AB 34(ti),0.0,AB 24-AB 51-[AB 06|AB 34]
AB 24,AB 49,0,3,dental/coronal,?,e,?,4,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 49(?),0.0,[AB 24|AB 49]-AB 51-AB 06
AB 06,AB 45,2,3,dental/coronal,dental/coronal,a,i,4,1,unknown,unclassified: AB 06(na) ↔ AB 45(ri),0.0,AB 24-AB 51-[AB 06|AB 45]
AB 24,AB 23,0,3,dental/coronal,dental/coronal,e,u,4,1,unknown,unclassified: AB 24(ne) ↔ AB 23(mu),0.0,[AB 24|AB 23]-AB 51-AB 06
AB 24,AB 44,0,3,dental/coronal,velar/palatal,e,e,4,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 44(ke),0.0,[AB 24|AB 44]-AB 51-AB 06
AB 24,AB 57,0,3,dental/coronal,velar/palatal,e,a,4,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 57(ja),0.0,[AB 24|AB 57]-AB 51-AB 06
AB 51,AB 07,1,3,dental/coronal,dental/coronal,u,i,4,1,phonetic,"same class (dental/coronal), different vowel: AB 51(du) ↔ AB 07(di)",0.5,AB 24-[AB 51|AB 07]-AB 06
AB 06,AB 66,2,3,dental/coronal,?,a,?,4,1,morphological,prefix/suffix substitution: AB 06(na) ↔ AB 66(?),0.0,AB 24-AB 51-[AB 06|AB 66]
AB 24,AB 39,0,3,dental/coronal,?,e,?,4,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 39(?),0.0,[AB 24|AB 39]-AB 51-AB 06
AB 06,MET G,2,3,dental/coronal,?,a,?,4,1,morphological,prefix/suffix substitution: AB 06(na) ↔ MET G(?),0.0,AB 24-AB 51-[AB 06|MET G]
AB 24,AB 37,0,3,dental/coronal,?,e,?,4,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 37(?),0.0,[AB 24|AB 37]-AB 51-AB 06
AB 51,AB 30,1,3,dental/coronal,dental/coronal,u,i,4,1,phonetic,"same class (dental/coronal), different vowel: AB 51(du) ↔ AB 30(ni)",0.5,AB 24-[AB 51|AB 30]-AB 06
AB 06,AB 13,2,3,dental/coronal,labial,a,e,4,1,morphological,prefix/suffix substitution: AB 06(na) ↔ AB 13(me),0.0,AB 24-AB 51-[AB 06|AB 13]
AB 51,AB 48,1,3,dental/coronal,?,u,?,4,1,unknown,unclassified: AB 51(du) ↔ AB 48(?),0.0,AB 24-[AB 51|AB 48]-AB 06
AB 24,AB 29,0,3,dental/coronal,dental/coronal,e,u,4,1,unknown,unclassified: AB 24(ne) ↔ AB 29(pu),0.0,[AB 24|AB 29]-AB 51-AB 06
