egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
mnw,monument/gift (trade item),trade,goods,mnw,NNW,KNZc7,Knossos,,Uncertain,Inked inscription,15,17,3,na+ne+wi,NNW,conventional,,False,55.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,ZAZg35,Zakros,,LM IA,Label,0,2,3,me+mi+ja,NNW,conventional,,False,55.0
p^qt,fine linen (pq),commodities,textile,pQt,PKT,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),6,8,3,pi+ki+da,PKT,conventional,,False,55.0
p^qt,fine linen (pq),commodities,textile,pQt,PKT,TY2,Tylissos,clay,Uncertain,tablet (page-shaped),1,3,3,pi+ki+da,PKT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,HT7a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),5,7,3,du+ja+ta,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,HT34,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,da+ju+te,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,HT119,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),7,9,3,ti+ja+tu,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,KNZa10,Knossos,stone,LM IA,stone vessel,9,11,3,da+wa+du,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,KNZa10,Knossos,stone,LM IA,stone vessel,11,13,3,du+wa+to,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,MA2b,Malia,,Uncertain,3-sided bar,1,3,3,ti+ja+ti,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,PLZf1,Platanos,metal,Uncertain,metal object,0,2,3,ta+wi+te,TWT,conventional,,False,55.0
twt,statue/image (trade object),commodities,art,twt,TWT,PSZa2,Psykhro,stone,Uncertain,stone vessel,5,7,3,ti+ja+ti,TWT,conventional,,False,55.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT6a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,pa+da+ta,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT12,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,qa+ti+da,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT41a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,qe+tu+da,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT85b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),9,11,3,pa+te+tu,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT119,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),5,7,3,pa+tu+ti,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT123+124b,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),4,6,3,pa+di+da,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HTZb160,Haghia Triada,pottery/ceramic,LM IB,Clay vessel,0,2,3,pa+ta+da,PTT,conventional,,False,50.0
